KEYS,en,fr,,
TEST_MSG,This message is in english,Ce message est en français,,
PLAYER_ADDED_ON_WHITELIST,,[{emoji_plus}] Le joueur **{name}** a été rajouté à la whitelist,,
PLAYER_REMOVED_FROM_WHITELIST,,[{emoji_minus}] Le joueur **{name}** a été retiré de la whitelist,,
PLAYER_ALDREADY_IN_WHITELIST,,Le joueur **{name}** est déjà dans la whitelist,,
PLAYER_NOT_IN_WHITELIST,,Le joueur **{name}** a n'est pas dans la whitelist,,
PLAYER_UNFOUND,,Le joueur **{name}** est introuvable,,
WHITELIST_LIST,,Nombre de joueur dans la whitelist,,
BASE_WHITELIST_LIST_PLAYER,,**{name}** (*{member}*),,
NEW_PB_CHANNEL_CHANGE,,Tout les nouveaux *personnal bests* seront affiché dans le salon {channel.mention},,
BETTER_PB,,"**Nouveau PB!** {member_mention} __{score} en {mode}__ ***GG***
`#{last_pos}` -> `#{new_pos}` ({str_new_global_score})",,
SAME_PB,,"**Nouveau PB!** {member_mention} __{score} en {mode}__ ***GG***
`#{new_pos}` ({str_new_global_score})",,
WORST_PB,,**Nouveau PB!!!!!!!** Ah bah nan enfaite, {member_mention} a décidé de faire je ne sais quoi, mais son pb a diminué.... Donc.. son nouveau pb... est de **{score}** en **{mode}** GG!!!??......\n#{last_pos} -> #{new_pos} ({str_new_global_score})
